          Graph | 'toy'
          Nodes | 19,634 (0)
          Edges | 195,781 (0)
         Degree | 19.9 (5, 38)
        Density | 0.00101579
     Components | 100.0% (1)
      Distances | 3.637 (5)
     Clustering | 0.001089
           Time | 26.7 sec

          Graph | 'Barabási–Albert'
           Type | '---'
          Nodes | 19,634 (0)
          Edges | 196,240 (0)
         Degree | 20.0 (10, 731)
        Density | 0.00101817
     Components | 100.0% (1)
      Distances | 3.225 (5)
     Clustering | 0.006797
           Time | 23.2 sec

          Graph | 'internet'
           Type | '---'
          Nodes | 75,885 (0)
          Edges | 357,317 (0)
         Degree | 9.4 (1, 13,346)
        Density | 0.00012410
     Components | 100.0% (1)
      Distances | 5.775 (19)
     Clustering | 0.160076
           Time | 176.7 sec

          Graph | 'Erdös-Rényi'
           Type | '---'
          Nodes | 75,885 (2)
          Edges | 357,317 (0)
         Degree | 9.4 (0, 24)
        Density | 0.00012410
     Components | 100.0% (3)
      Distances | 5.273 (8)
     Clustering | 0.000154
           Time | 74.5 sec

          Graph | 'Barabási–Albert'
           Type | '---'
          Nodes | 75,885 (0)
          Edges | 379,400 (0)
         Degree | 10.0 (5, 997)
        Density | 0.00013177
     Components | 100.0% (1)
      Distances | 4.231 (6)
     Clustering | 0.001379
           Time | 73.1 sec

          Total | 585.3 sec

